Project ID,Voluntary Registry,Type,Country,R_ratio,Vintage_Age,M_flag,T_flag,RiskScore
CAR1132,CAR,Manure Methane Digester,United States,0.966765509352814,12.0,0,0,0.08977626100364003
GS12370,GOLD,Cookstoves,India,0.3068035358661855,3.0,0,0,0.08976642300077588
ACR878,ACR,Improved Forest Management,United States,0.3066214433636159,3.0,0,0,0.08976642300077588
CAR1538,CAR,Improved Forest Management,Mexico,0.026427331207066,6.0,0,0,0.08969618996351544
GS1714,GOLD,Biodigesters,China,1.061323452862141,13.0,0,0,0.08967060201419885
GS1708,GOLD,Biodigesters,China,1.061323452862141,13.0,0,0,0.08967060201419885
GS1707,GOLD,Biodigesters,China,1.0613115595504778,13.0,0,0,0.08967060201419885
GS1710,GOLD,Biodigesters,China,1.061323452862141,13.0,0,0,0.08967060201419885
GS1713,GOLD,Biodigesters,China,1.0613115595504778,13.0,0,0,0.08967060201419885
GS1709,GOLD,Biodigesters,China,1.0613115595504778,13.0,0,0,0.08967060201419885
GS1706,GOLD,Biodigesters,China,1.0613115595504778,13.0,0,0,0.08967060201419885
GS1705,GOLD,Biodigesters,China,1.061323452862141,13.0,0,0,0.08967060201419885
GS1704,GOLD,Biodigesters,China,1.0613115595504778,13.0,0,0,0.08967060201419885
GS1703,GOLD,Biodigesters,China,1.061323452862141,13.0,0,0,0.08967060201419885
GS1723,GOLD,Biodigesters,China,1.061323452862141,13.0,0,0,0.08967060201419885
GS1715,GOLD,Biodigesters,China,1.0613115595504778,13.0,0,0,0.08967060201419885
GS1716,GOLD,Biodigesters,China,1.0613115595504778,13.0,0,0,0.08967060201419885
GS1717,GOLD,Biodigesters,China,1.061323452862141,13.0,0,0,0.08967060201419885
GS1718,GOLD,Biodigesters,China,1.0613115595504778,13.0,0,0,0.08967060201419885
GS1712,GOLD,Biodigesters,China,1.061323452862141,13.0,0,0,0.08967060201419885
GS1711,GOLD,Biodigesters,China,1.0613115595504778,13.0,0,0,0.08967060201419885
GS12120,GOLD,Cookstoves,Uganda,1.0401575250539727,3.0,0,0,0.08966683329759939
ACR924,ACR,Ozone Depleting Substances Recovery & Destruction,Thailand,1.0290294540727236,3.0,0,0,0.08966683329759939
CAR1871,CAR,Improved Forest Management,Mexico,1.038193894835281,3.0,0,0,0.08966683329759939
ACR844,ACR,Ozone Depleting Substances Recovery & Destruction,Thailand,1.0341287240671082,3.0,0,0,0.08966683329759939
GS11594,GOLD,Manure Methane Digester,India,0.0229475754099807,4.0,0,0,0.08940246218088511
GS11044,GOLD,Cookstoves,Uganda,0.0214669384907249,4.0,0,0,0.08940246218088511
CAR1050,CAR,Landfill Methane,United States,1.08272286362085,13.0,0,0,0.08929967654710709
GS1694,GOLD,Biodigesters,China,1.0894868148798862,13.0,0,0,0.08929967654710709
GS1742,GOLD,Biodigesters,China,1.0772842771137516,13.0,0,0,0.08929967654710709
GS1743,GOLD,Biodigesters,China,1.0772723838020888,13.0,0,0,0.08929967654710709
GS1726,GOLD,Biodigesters,China,1.0848722099546813,13.0,0,0,0.08929967654710709
CAR1057,CAR,Manure Methane Digester,United States,1.0870790118216116,13.0,0,0,0.08929967654710709
GS1695,GOLD,Biodigesters,China,1.0894749215682231,13.0,0,0,0.08929967654710709
GS1696,GOLD,Biodigesters,China,1.0894749215682231,13.0,0,0,0.08929967654710709
GS1697,GOLD,Biodigesters,China,1.0894868148798862,13.0,0,0,0.08929967654710709
GS1698,GOLD,Biodigesters,China,1.0894749215682231,13.0,0,0,0.08929967654710709
GS1699,GOLD,Biodigesters,China,1.0894749215682231,13.0,0,0,0.08929967654710709
GS1700,GOLD,Biodigesters,China,1.0894868148798862,13.0,0,0,0.08929967654710709
GS1701,GOLD,Biodigesters,China,1.0894749215682231,13.0,0,0,0.08929967654710709
GS1693,GOLD,Biodigesters,China,1.0894630282565605,13.0,0,0,0.08929967654710709
GS12261,GOLD,Clean Water,Kenya,0.6046618314094061,3.0,0,0,0.0891691304706068
GS12259,GOLD,Clean Water,Kenya,0.6313198509845662,3.0,0,0,0.08909592904026234
GS12729,GOLD,Cookstoves,Nepal,0.6317807984345732,3.0,0,0,0.08909592904026234
VCS2440,VCS,Cookstoves,India,1.0440938268933455,13.0,0,0,0.0890795783078984
VCS2439,VCS,Cookstoves,India,1.038880574801677,13.0,0,0,0.0890795783078984
VCS2428,VCS,Cookstoves,India,1.045350441404041,13.0,0,0,0.0890795783078984
CAR1055,CAR,Manure Methane Digester,United States,1.045056012597582,13.0,0,0,0.0890795783078984
VCS2437,VCS,Cookstoves,India,1.0439070328444584,13.0,0,0,0.0890795783078984
VCS2426,VCS,Cookstoves,India,1.0521429522726649,13.0,0,0,0.0890795783078984
VCS1418,VCS,RE Bundled,India,1.050923556388882,13.0,0,0,0.0890795783078984
VCS2430,VCS,Cookstoves,India,1.0399334139863134,13.0,0,0,0.0890795783078984
VCS2835,VCS,Bundled Energy Efficiency,Kenya,0.8436255708716962,10.0,0,0,0.08906617157817538
GS12723,GOLD,Cookstoves,Nepal,0.7270485600080279,3.0,0,0,0.08898126156530481
CAR1614,CAR,Improved Forest Management,United States,0.638853679461824,3.0,0,0,0.08892916496891594
GS12721,GOLD,Cookstoves,Nepal,0.7262708639951834,3.0,0,0,0.08890215811562628
GS1735,GOLD,Biodigesters,China,1.067543654861837,13.0,0,0,0.08888878163401626
GS1727,GOLD,Biodigesters,China,1.0752980940660477,13.0,0,0,0.08888878163401626
GS1728,GOLD,Biodigesters,China,1.0753099873777103,13.0,0,0,0.08888878163401626
GS1730,GOLD,Biodigesters,China,1.0752980940660477,13.0,0,0,0.08888878163401626
GS1731,GOLD,Biodigesters,China,1.0752980940660477,13.0,0,0,0.08888878163401626
GS1745,GOLD,Biodigesters,China,1.075214840884407,13.0,0,0,0.08888878163401626
GS1736,GOLD,Biodigesters,China,1.0675555481735,13.0,0,0,0.08888878163401626
GS1737,GOLD,Biodigesters,China,1.067543654861837,13.0,0,0,0.08888878163401626
GS1733,GOLD,Biodigesters,China,1.0752980940660477,13.0,0,0,0.08888878163401626
GS1734,GOLD,Biodigesters,China,1.0675555481735,13.0,0,0,0.08888878163401626
GS1738,GOLD,Biodigesters,China,1.0745012421846332,13.0,0,0,0.08888878163401626
GS1732,GOLD,Biodigesters,China,1.0753099873777103,13.0,0,0,0.08888878163401626
GS1720,GOLD,Biodigesters,China,1.0643324607128544,13.0,0,0,0.08888566637878441
GS1725,GOLD,Biodigesters,China,1.064130274414585,13.0,0,0,0.08888566637878441
GS1719,GOLD,Biodigesters,China,1.0643443540245172,13.0,0,0,0.08888566637878441
